Name of the College,State,District,Type(Male/Female/Co-edu),Govt/Private,Qualification,Other Degree,Trade/Branch
Idhaya College of Arts and Science for Women,Puducherry,Puducherry,Girls,Private,UG,None,BA
Idhaya College of Arts and Science for Women,Puducherry,Puducherry,Girls,Private,UG,None,B.COM
Idhaya College of Arts and Science for Women,Puducherry,Puducherry,Girls,Private,UG,None,B.Sc
Idhaya College of Arts and Science for Women,Puducherry,Puducherry,Girls,Private,UG,None,BCA
Achariya College of Engineering Technology,Puducherry,Puducherry,Co-edu,Private,UG,PG,B.Tech
Pondicherry University,Puducherry,Puducherry,Co-edu,Private,UG,PG,BA
Pondicherry University,Puducherry,Puducherry,Co-edu,Private,UG,PG,B.COM
Pondicherry University,Puducherry,Puducherry,Co-edu,Private,UG,PG,B.Sc
Pondicherry University,Puducherry,Puducherry,Co-edu,Private,UG,PG,BCA
Pondicherry University,Puducherry,Puducherry,Co-edu,Private,UG,PG,BBA
Puducherry Technological University,Puducherry,Puducherry,Co-edu,Private,UG,PG,BA
Puducherry Technological University,Puducherry,Puducherry,Co-edu,Private,UG,PG,B.Com
Puducherry Technological University,Puducherry,Puducherry,Co-edu,Private,UG,PG,B.Sc
Puducherry Technological University,Puducherry,Puducherry,Co-edu,Private,UG,PG,BCA
Puducherry Technological University,Puducherry,Puducherry,Co-edu,Private,UG,PG,B.Tech
Avvaiyar Government College for Women,Puducherry,Karaikal,Girls,Govt,UG,PG,BA
Avvaiyar Government College for Women,Puducherry,Karaikal,Female,Govt,UG,PG,B.Com
Avvaiyar Government College for Women,Puducherry,Karaikal,Female,Govt,UG,PG,B.Sc
"Arignar Anna Government Arts and Science College, Karaikal",Puducherry,Karaikal,Co-edu,Govt,UG,PG,BA
"Arignar Anna Government Arts and Science College, Karaikal",Puducherry,Karaikal,Co-edu,Govt,UG,PG,B.Com
"Arignar Anna Government Arts and Science College, Karaikal",Puducherry,Karaikal,Co-edu,Govt,UG,PG,B.Sc
Vinakaya Missions College of Nursing - Karaikal,Puducherry,Karaikal,Co-edu,Private,UG,PG,B.Sc
Pandit Jawaharlal Nehru College of Agriculture & Research Institute,Puducherry,Karaikal,Co-edu,Govt,UG,PG,B.Sc
Perunthalaivar Kamarajar College of Education,Puducherry,Karaikal,Co-edu,Govt,UG,None,B.Ed
Don Bosco College,Puducherry,Karaikal,Co-edu,Private,UG,None,BA
Don Bosco College,Puducherry,Karaikal,Co-edu,Private,UG,None,B.Com
Don Bosco College,Puducherry,Karaikal,Co-edu,Private,UG,None,B.Sc
Don Bosco College,Puducherry,Karaikal,Co-edu,Private,UG,None,BBA
Don Bosco College,Puducherry,Karaikal,Co-edu,Private,UG,None,BCA
Perunthalaivar Kamarajar Institute of Engineering and Technology ,Puducherry,Karaikal,Co-edu,Govt,UG,None,B.Tech in Information Technology 
Perunthalaivar Kamarajar Institute of Engineering and Technology ,Puducherry,Karaikal,Co-edu,Govt,UG,None,B.Tech in Computer Science and Engineering 
Perunthalaivar Kamarajar Institute of Engineering and Technology ,Puducherry,Karaikal,Co-edu,Govt,UG,None,B.Tech in Electronics and Communication Engineering 
Bharathiyar College of Engineering and Technology,Puducherry,Karaikal,Co-edu,Private,UG,PG,B.Tech in Computer Science and Engineering 
Bharathiyar College of Engineering and Technology,Puducherry,Karaikal,Co-edu,Private,UG,PG,B.Tech in Information Technology 
Bharathiyar College of Engineering and Technology,Puducherry,Karaikal,Co-edu,Private,UG,PG,B.Tech in Electronics and Communication Engineering 
Bharathiyar College of Engineering and Technology,Puducherry,Karaikal,Co-edu,Private,UG,PG,B.Tech in Electrical and Electronics Engineering 
Bharathiyar College of Engineering and Technology,Puducherry,Karaikal,Co-edu,Private,UG,PG,B.Tech in Electrical and Electronics Engineering 
Bharathiyar College of Engineering and Technology,Puducherry,Karaikal,Co-edu,Private,UG,PG,B.Tech in Mechanical Engineering 
NIT Puducherry,Puducherry,Karaikal,Co-edu,Govt,UG,PG,B.Sc
NIT Puducherry,Puducherry,Karaikal,Co-edu,Govt,UG,PG,B.Ed
NIT Puducherry,Puducherry,Karaikal,Co-edu,Govt,UG,PG,B.Tech in Computer Science and Engineering 
NIT Puducherry,Puducherry,Karaikal,Co-edu,Govt,UG,PG,B.Tech in Electronics and Communication Engineering 
NIT Puducherry,Puducherry,Karaikal,Co-edu,Govt,UG,PG,B.Tech in Electrical and Electronics Engineering 
NIT Puducherry,Puducherry,Karaikal,Co-edu,Govt,UG,PG,B.Tech in Civil Engineering 
NIT Puducherry,Puducherry,Karaikal,Co-edu,Govt,UG,PG,B.Tech in Mechanical Engineering 
Mahatma Gandhi Government Arts College,Puducherry,Mahe,Co-edu,Govt,UG,PG,BA
Mahatma Gandhi Government Arts College,Puducherry,Mahe,Co-edu,Govt,UG,PG,B.Sc
Mahatma Gandhi Government Arts College,Puducherry,Mahe,Co-edu,Govt,UG,PG,B.Com
Mahe Co-Operative College of Higher Education & Technology,Puducherry,Mahe,Co-edu,Private,UG,PG,BA
Mahe Co-Operative College of Higher Education & Technology,Puducherry,Mahe,Co-edu,Private,UG,PG,B.Com
Mahe Co-Operative College of Higher Education & Technology,Puducherry,Mahe,Co-edu,Private,UG,PG,BCA
Mahe Co-Operative College of Higher Education & Technology,Puducherry,Mahe,Co-edu,Private,UG,PG,BBA
Pondicherry University Community College – Mahe Centre,Puducherry,Mahe,Co-edu,Govt,UG,Diploma,B.Com
Pondicherry University Community College – Mahe Centre,Puducherry,Mahe,Co-edu,Govt,UG,Diploma,BBA
Pondicherry University Community College – Mahe Centre,Puducherry,Mahe,Co-edu,Govt,UG,Diploma,B.Voc
Mahe Institute Of Dental Science,Puducherry,Mahe,Co-edu,Private,UG,PG,BDS
Sree Narayana College of Education,Puducherry,Mahe,Co-edu,Private,UG,None,B.Ed
Rajiv Gandhi Ayurveda Medical College,Puducherry,Mahe,Co-edu,Govt,UG,Diploma,BAMS
Mahatma Gandhi Government Art College,Puducherry,Yanam ,Co-educational,Government,UG,PG,B.Sc
Mahatma Gandhi Government Art College,Puducherry,Yanam ,Co-educational,Government,UG,PG,BA
Mahatma Gandhi Government Art College,Puducherry,Yanam ,Co-educational,Government,UG,PG,B.Com
Dr. Sarvepalli Radhakrishnan Government Art College,Puducherry,Yanam ,Co-educational,Government,UG,None,B.Sc
Dr. Sarvepalli Radhakrishnan Government Art College,Puducherry,Yanam ,Co-educational,Government,UG,None,BA
Dr. Sarvepalli Radhakrishnan Government Art College,Puducherry,Yanam ,Co-educational,Government,UG,None,B.Com
Dr. A.P. J. Abdul Kalam Government Engineering College,Puducherry,Yanam ,Co-educational,Government,UG,,B.Tech
Regency Institute of Technology,Puducherry,Yanam ,Co-educational,Private,UG,PG,B.Tech